Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Mês notificação
Período:2022
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"250550 VISTA SERRANA";-;-;-;-;2;4;-;-;2;-;-;-;8
"250570 DONA INES";-;-;-;-;-;3;-;-;-;1;-;-;4
"250580 DUAS ESTRADAS";-;-;1;-;-;-;-;-;-;-;-;-;1
"250600 ESPERANCA";-;-;-;-;-;2;1;-;-;-;-;-;3
"250610 FAGUNDES";-;1;-;-;-;-;-;1;-;-;-;-;2
"250620 FREI MARTINHO";-;-;-;-;-;-;1;-;2;-;-;-;3
"250625 GADO BRAVO";-;-;-;-;1;-;-;-;-;-;-;-;1
"250630 GUARABIRA";-;3;8;9;7;4;-;-;-;-;1;-;32
"250640 GURINHEM";-;-;-;-;-;-;-;-;1;-;-;-;1
"250650 GURJAO";-;-;15;15;-;-;-;-;-;-;-;-;30
"250660 IBIARA";-;-;3;-;-;-;-;-;-;-;-;-;3
"250680 INGA";-;-;-;-;-;1;-;-;-;-;-;-;1
"250690 ITABAIANA";-;-;-;-;-;2;-;-;-;-;-;-;2
"250710 ITAPOROROCA";-;-;1;2;-;-;-;-;-;-;-;-;3
"250720 ITATUBA";-;-;-;-;-;-;-;1;-;-;-;-;1
"250730 JACARAU";-;-;2;-;2;-;-;-;-;-;-;-;4
"250740 JERICO";-;-;-;1;-;1;-;-;-;-;-;-;2
"250750 JOAO PESSOA";6;20;29;41;52;66;44;27;31;20;10;5;351
"250780 JUNCO DO SERIDO";-;-;-;-;1;-;-;-;-;-;-;-;1
"250790 JURIPIRANGA";-;-;-;-;-;-;-;-;-;1;-;-;1
"250800 JURU";-;-;-;-;-;-;1;-;1;-;-;-;2
"250820 LAGOA DE DENTRO";-;2;-;1;-;-;-;-;-;-;-;-;3
"250830 LAGOA SECA";-;-;1;-;-;1;-;-;-;-;-;-;2
"250850 LIVRAMENTO";-;-;-;-;1;4;-;-;-;-;-;-;5
"250860 LUCENA";-;-;-;-;-;1;-;-;-;-;-;-;1
"250890 MAMANGUAPE";-;-;-;-;1;-;-;-;-;-;-;-;1
"250920 MASSARANDUBA";-;-;-;1;1;-;-;-;-;-;-;-;2
"250940 MOGEIRO";-;-;-;-;-;-;1;-;-;-;-;-;1
"250950 MONTADAS";-;-;-;-;-;-;-;-;-;1;-;-;1
"250960 MONTE HOREBE";-;-;-;-;-;-;-;-;1;-;-;-;1
"250970 MONTEIRO";-;-;1;-;-;-;-;-;-;-;-;1;2
"250990 NATUBA";-;6;5;5;8;1;15;7;3;3;6;1;60
"251010 NOVA FLORESTA";-;2;9;6;2;-;-;2;-;-;1;-;22
"251020 NOVA OLINDA";-;-;-;-;-;2;-;-;-;-;-;-;2
"251050 OLIVEDOS";2;1;1;2;7;1;-;2;-;-;-;-;16
"251080 PATOS";-;-;-;1;1;-;1;1;-;-;-;-;4
"251110 PEDRA LAVRADA";-;-;-;-;-;1;-;-;-;-;-;-;1
"251130 PIANCO";-;-;-;1;-;-;-;1;-;-;-;-;2
"251140 PICUI";-;-;-;-;-;-;1;-;-;-;-;-;1
"251150 PILAR";5;3;3;4;23;5;9;7;-;-;-;-;59
"251160 PILOES";-;1;-;-;-;-;-;-;-;1;-;-;2
"251170 PILOEZINHOS";-;-;1;-;-;-;-;-;-;-;-;-;1
"251180 PIRPIRITUBA";-;-;-;-;1;-;-;-;-;-;-;-;1
"251190 PITIMBU";-;-;-;-;-;-;-;-;1;-;-;-;1
"251200 POCINHOS";-;-;-;-;1;-;-;-;-;-;-;-;1
"251240 PUXINANA";-;-;-;-;-;1;-;-;-;-;-;-;1
"251250 QUEIMADAS";1;1;2;2;149;234;191;142;17;-;1;-;740
"251260 QUIXABA";-;-;-;-;-;-;1;-;-;-;-;-;1
"251270 REMIGIO";-;-;-;-;-;-;-;1;-;-;-;-;1
"251272 PEDRO REGIS";-;-;1;-;-;-;-;-;-;-;-;-;1
"251275 RIACHAO DO BACAMARTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"251276 RIACHAO DO POCO";-;-;-;-;-;1;-;-;-;-;-;-;1
"251278 RIACHO DE SANTO ANTONIO";-;-;1;-;-;-;-;-;-;-;-;-;1
"251290 RIO TINTO";-;-;-;-;-;-;2;-;1;-;-;-;3
"251310 SALGADO DE SAO FELIX";-;-;-;-;1;-;-;-;-;-;-;-;1
"251315 SANTA CECILIA";-;-;-;-;-;-;-;-;-;1;1;-;2
"251340 SANTA LUZIA";-;-;-;-;1;-;-;-;-;1;-;-;2
"251370 SANTA RITA";-;2;2;3;2;-;4;2;-;2;2;-;19
"251385 SANTO ANDRE";-;-;-;-;-;1;1;-;-;-;-;-;2
"251390 SAO BENTO";-;-;-;-;1;-;2;-;-;-;-;-;3
"251400 SAO JOAO DO CARIRI";-;-;-;-;-;-;-;-;-;-;-;1;1
"251445 SAO JOSE DOS RAMOS";-;-;-;-;-;1;-;-;-;-;-;-;1
"251450 SAO JOSE DE PIRANHAS";-;-;-;-;-;1;-;-;-;-;-;-;1
"251460 SAO JOSE DO BONFIM";-;-;-;-;-;-;1;-;-;-;-;-;1
"251465 SAO JOSE DO BREJO DO CRUZ";-;-;1;-;-;-;-;-;-;-;-;-;1
"251500 SAO MIGUEL DE TAIPU";-;-;-;-;1;-;-;-;-;-;-;-;1
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;-;2;-;-;-;1;-;-;-;-;-;3
"251520 SAO SEBASTIAO DO UMBUZEIRO";-;-;-;-;-;-;-;1;-;-;-;-;1
"251530 SAPE";-;-;-;-;1;-;-;-;-;-;-;-;1
"251550 SERRA BRANCA";-;-;-;1;1;-;-;-;-;-;-;-;2
"251560 SERRA DA RAIZ";2;-;-;-;-;-;-;-;-;-;-;-;2
"251593 SERTAOZINHO";-;3;-;1;-;-;-;-;-;-;-;1;5
"251600 SOLANEA";1;-;-;1;-;-;-;-;-;-;-;-;2
"251610 SOLEDADE";-;-;-;7;5;-;4;-;-;-;-;-;16
"251620 SOUSA";1;-;-;-;3;2;1;-;-;-;-;-;7
"251630 SUME";-;-;-;-;1;-;-;1;-;-;-;-;2
"251670 TEIXEIRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"251675 TENORIO";5;2;1;-;1;-;-;-;-;-;-;-;9
"251700 UMBUZEIRO";3;5;16;36;9;-;7;-;5;-;-;-;81
"251710 VARZEA";-;-;-;1;3;-;6;-;-;-;-;-;10
"Total";42;129;302;275;527;462;396;249;92;48;31;14;2567
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 05/09/2025 às 13:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
