Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Sexo
Período:2022
"Município de residência";"Ignorado";"Masculino";"Feminino";"Total"
"251190 PITIMBU";-;-;1;1
"251200 POCINHOS";-;-;1;1
"251240 PUXINANA";-;-;1;1
"251250 QUEIMADAS";-;333;407;740
"251260 QUIXABA";-;-;1;1
"251270 REMIGIO";-;-;1;1
"251272 PEDRO REGIS";-;1;-;1
"251275 RIACHAO DO BACAMARTE";-;-;1;1
"251276 RIACHAO DO POCO";-;-;1;1
"251278 RIACHO DE SANTO ANTONIO";-;1;-;1
"251290 RIO TINTO";1;-;2;3
"251310 SALGADO DE SAO FELIX";-;1;-;1
"251315 SANTA CECILIA";-;-;2;2
"251340 SANTA LUZIA";-;1;1;2
"251370 SANTA RITA";-;9;10;19
"251385 SANTO ANDRE";-;1;1;2
"251390 SAO BENTO";-;1;2;3
"251400 SAO JOAO DO CARIRI";-;1;-;1
"251445 SAO JOSE DOS RAMOS";-;-;1;1
"251450 SAO JOSE DE PIRANHAS";-;-;1;1
"251460 SAO JOSE DO BONFIM";-;-;1;1
"251465 SAO JOSE DO BREJO DO CRUZ";-;-;1;1
"251500 SAO MIGUEL DE TAIPU";-;-;1;1
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;1;2;3
"251520 SAO SEBASTIAO DO UMBUZEIRO";-;1;-;1
"251530 SAPE";-;-;1;1
"251550 SERRA BRANCA";-;1;1;2
"251560 SERRA DA RAIZ";-;2;-;2
"251593 SERTAOZINHO";-;4;1;5
"251600 SOLANEA";-;-;2;2
"251610 SOLEDADE";-;4;12;16
"251620 SOUSA";-;1;6;7
"251630 SUME";-;-;2;2
"251670 TEIXEIRA";-;-;1;1
"251675 TENORIO";-;2;7;9
"251700 UMBUZEIRO";-;39;42;81
"251710 VARZEA";-;2;8;10
"Total";1;975;1591;2567
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 05/09/2025 às 13:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
