Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Mês notificação
Período:2020
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;-;-;-;-;-;-;1;-;-;-;-;1
"251530 SAPE";-;-;-;-;-;1;-;-;-;-;-;-;1
"251540 SAO VICENTE DO SERIDO";-;-;-;1;-;-;-;-;-;-;-;-;1
"251597 SOBRADO";-;-;-;-;-;-;-;1;-;-;-;-;1
"251610 SOLEDADE";-;-;-;-;-;-;1;-;-;-;-;-;1
"251620 SOUSA";-;-;-;1;-;-;-;-;-;1;-;-;2
"251650 TAPEROA";-;-;-;-;-;-;-;-;-;1;-;-;1
"251690 UIRAUNA";-;1;1;-;-;-;-;-;-;-;-;-;2
"251700 UMBUZEIRO";-;1;2;-;1;1;-;2;1;-;-;-;8
"251740 ZABELE";-;-;-;-;1;-;-;-;-;-;-;-;1
"Total";24;16;14;18;54;96;141;97;56;38;32;38;624
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 05/09/2025 às 13:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
