Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Mês notificação
Período:2021
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"251220 PRATA";1;-;1;-;4;1;-;1;-;-;-;-;8
"251240 PUXINANA";-;-;-;-;-;1;2;-;-;-;-;-;3
"251250 QUEIMADAS";2;2;3;21;91;143;129;48;27;14;7;1;488
"251260 QUIXABA";-;-;-;-;-;-;2;1;-;-;-;-;3
"251270 REMIGIO";-;-;1;14;21;23;6;-;-;-;-;-;65
"251275 RIACHAO DO BACAMARTE";-;-;1;-;-;-;-;-;-;-;-;-;1
"251370 SANTA RITA";-;-;-;1;1;1;5;9;-;-;2;2;21
"251390 SAO BENTO";-;-;1;-;-;-;1;-;-;-;-;-;2
"251400 SAO JOAO DO CARIRI";-;-;-;-;-;-;-;2;5;4;-;-;11
"251445 SAO JOSE DOS RAMOS";-;-;-;-;2;-;-;-;-;-;-;-;2
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;-;-;1;-;-;3;11;8;2;-;-;25
"251530 SAPE";-;-;-;-;-;1;-;-;-;-;-;-;1
"251540 SAO VICENTE DO SERIDO";-;-;2;-;-;-;-;-;-;-;-;-;2
"251550 SERRA BRANCA";-;-;-;-;-;1;-;-;1;-;-;-;2
"251600 SOLANEA";-;-;-;-;1;-;-;-;-;-;-;-;1
"251610 SOLEDADE";-;-;-;-;1;-;-;-;-;-;-;-;1
"251615 SOSSEGO";-;-;-;2;-;-;-;-;-;-;-;-;2
"251620 SOUSA";-;-;-;-;5;3;-;1;-;-;-;-;9
"251630 SUME";-;-;-;-;-;1;-;-;-;-;-;-;1
"251700 UMBUZEIRO";-;1;-;2;1;-;11;8;11;14;4;3;55
"Total";22;44;86;144;333;559;556;263;195;152;124;51;2529
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 05/09/2025 às 13:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
