Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Faixa Etária
Período:2021
"Município de residência";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"250690 ITABAIANA";-;-;-;-;-;3;-;-;-;-;-;3
"250700 ITAPORANGA";-;1;-;-;-;-;-;-;-;-;-;1
"250710 ITAPOROROCA";-;-;2;3;-;11;3;2;2;2;1;26
"250740 JERICO";-;-;-;-;-;-;1;-;-;-;-;1
"250750 JOAO PESSOA";23;17;19;24;33;140;109;14;16;9;3;407
"250760 JUAREZ TAVORA";-;-;1;-;1;1;-;-;-;-;-;3
"250770 JUAZEIRINHO";1;3;-;3;4;1;2;-;-;-;-;14
"250780 JUNCO DO SERIDO";1;-;-;-;-;-;-;-;-;-;-;1
"250830 LAGOA SECA";-;-;-;-;-;1;1;-;-;-;-;2
"250850 LIVRAMENTO";-;-;-;-;-;-;-;-;1;-;-;1
"250880 MALTA";-;-;-;-;-;1;-;-;-;-;-;1
"250890 MAMANGUAPE";1;1;1;3;2;11;21;1;1;2;1;45
"250905 MARCACAO";-;-;1;-;-;-;-;-;-;-;1;2
"250910 MARI";-;-;-;-;-;-;1;-;-;-;-;1
"250930 MATARACA";-;-;-;-;-;1;-;-;-;-;-;1
"250940 MOGEIRO";1;-;1;-;-;-;-;-;-;-;-;2
"250950 MONTADAS";-;-;-;-;-;2;-;-;-;-;-;2
"250970 MONTEIRO";1;1;-;-;1;13;12;1;-;-;-;29
"250990 NATUBA";-;1;-;-;-;8;4;-;-;-;-;13
"251010 NOVA FLORESTA";2;3;1;1;6;21;14;4;2;2;2;58
"251030 NOVA PALMEIRA";-;-;-;-;-;1;-;-;-;1;-;2
"251050 OLIVEDOS";1;2;3;-;1;7;3;1;-;-;-;18
"251080 PATOS";1;-;2;2;1;4;3;-;-;-;-;13
"251110 PEDRA LAVRADA";-;-;-;-;-;-;-;1;-;-;-;1
"251120 PEDRAS DE FOGO";-;-;-;1;-;-;-;-;-;-;-;1
"251140 PICUI";1;1;2;-;-;-;2;-;-;-;-;6
"251150 PILAR";1;2;4;6;4;16;18;2;2;2;1;58
"251180 PIRPIRITUBA";-;-;-;-;-;1;-;-;-;-;-;1
"251200 POCINHOS";-;-;-;-;-;1;-;-;1;-;-;2
"251210 POMBAL";-;-;-;-;-;-;-;-;-;1;-;1
"251220 PRATA";-;1;-;1;1;1;2;2;-;-;-;8
"251240 PUXINANA";-;-;-;-;-;1;2;-;-;-;-;3
"251250 QUEIMADAS";5;22;38;36;43;170;130;14;12;13;5;488
"251260 QUIXABA";-;1;-;-;-;2;-;-;-;-;-;3
"251270 REMIGIO";-;3;2;4;2;19;28;2;2;1;2;65
"251275 RIACHAO DO BACAMARTE";-;1;-;-;-;-;-;-;-;-;-;1
"251370 SANTA RITA";1;1;-;2;2;10;3;-;1;1;-;21
"251390 SAO BENTO";-;-;-;1;-;1;-;-;-;-;-;2
"251400 SAO JOAO DO CARIRI";-;-;-;2;-;4;4;-;-;-;1;11
"251445 SAO JOSE DOS RAMOS";-;-;-;-;1;-;1;-;-;-;-;2
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";4;1;1;1;2;11;3;-;2;-;-;25
"251530 SAPE";-;-;-;-;1;-;-;-;-;-;-;1
"251540 SAO VICENTE DO SERIDO";-;-;-;-;1;1;-;-;-;-;-;2
"251550 SERRA BRANCA";-;-;-;-;-;2;-;-;-;-;-;2
"251600 SOLANEA";-;-;-;-;-;-;1;-;-;-;-;1
"251610 SOLEDADE";-;1;-;-;-;-;-;-;-;-;-;1
"251615 SOSSEGO";-;-;-;-;1;-;1;-;-;-;-;2
"251620 SOUSA";1;-;-;-;2;1;3;-;1;1;-;9
"251630 SUME";-;-;-;-;-;-;1;-;-;-;-;1
"251700 UMBUZEIRO";5;7;4;8;4;14;9;1;-;2;1;55
"Total";82;113;156;165;174;874;691;104;73;74;23;2529
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 05/09/2025 às 13:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
